Question ID,Question Title,Question Slug,Difficulty Level,Success Rate,Total Submissions,Total Accepted,Likes,Dislikes,Topic Tagged text,Topic Tagged ID,Company Tags,Hints,Similar Questions ID,Similar Questions Text,Code Snippets (Python3 or All),Question Text
1,Two Sum,two-sum,Easy,55.8,31613908,17646703,62306,2258,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",None,"A really brute force way would be to search for all possible pairs of numbers but that would be too slow. Again, it's best to try out brute force solutions for just for completeness. It is from these brute force solutions that you can come up with optimizations. So, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","15,18,167,170,560,653,1083,1798,1830,2116,2133,2320,2351,2354,2367,2374,2399,2395,2441,2465,2824","3Sum,4Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Subarray Sum Equals K,Two Sum IV - Input is a BST,Two Sum Less Than K,Max Number of K-Sum Pairs,Count Good Meals,Count Number of Pairs With Absolute Difference K,Number of Pairs of Strings With Concatenation Equal to Target,Find All K-Distant Indices in an Array,First Letter to Appear Twice,Number of Excellent Pairs,Number of Arithmetic Triplets,Node With Highest Edge Score,Check Distances Between Same Letters,Find Subarrays With Equal Sum,Largest Positive Integer That Exists With Its Negative,Number of Distinct Averages,Count Pairs Whose Sum is Less than Target",,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. "
2,Add Two Numbers,add-two-numbers,Medium,46.3,12670385,5864801,33855,6788,"Linked List,Math,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMx",None,,"43,67,371,415,445,1031,1774,2816","Multiply Strings,Add Binary,Sum of Two Integers,Add Strings,Add Two Numbers II,Add to Array-Form of Integer,Add Two Polynomials Represented as Linked Lists,Double a Number Represented as a Linked List",,"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. "
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,37.0,20629483,7630952,42269,2055,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",None,Generate all possible substrings & check for each substring if it's valid and keep updating maxLen accordingly.,"159,340,1034,1813,2209,2260,2401,2405,2799,2982,2981","Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers,Maximum Erasure Value,Number of Equal Count Substrings,Minimum Consecutive Cards to Pick Up,Longest Nice Subarray,Optimal Partition of String,Count Complete Subarrays in an Array,Find Longest Special Substring That Occurs Thrice II,Find Longest Special Substring That Occurs Thrice I",,"Given a string s, find the length of the longest substring without duplicate characters. "
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,43.9,7877115,3457533,30251,3396,"Array,Binary Search,Divide and Conquer","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEy",None,,2387,Median of a Row Wise Sorted Matrix,,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). "
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,35.9,10914325,3917783,30939,1905,"String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",None,"How can we reuse a previously computed palindrome to compute a larger palindrome? If “aba” is a palindrome, is “xabax” a palindrome? Similarly is “xabay” a palindrome? Complexity based hint:
If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation.","214,266,336,516,647,2472","Shortest Palindrome,Palindrome Permutation,Palindrome Pairs,Longest Palindromic Subsequence,Palindromic Substrings,Maximum Number of Non-overlapping Palindrome Substrings",,"Given a string s, return the longest palindromic substring in s. "
6,Zigzag Conversion,zigzag-conversion,Medium,51.7,3469575,1792848,8551,15425,String,VG9waWNUYWdOb2RlOjEw,None,,,,,"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: "
7,Reverse Integer,reverse-integer,Medium,30.3,13610790,4130615,14235,13784,Math,VG9waWNUYWdOb2RlOjg=,None,,"8,190,2238,2442","String to Integer (atoi),Reverse Bits,A Number After a Double Reversal,Count Number of Distinct Integers After Reverse Operations",,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned). "
8,String to Integer (atoi),string-to-integer-atoi,Medium,19.3,10431705,2010944,5425,14784,String,VG9waWNUYWdOb2RlOjEw,None,,"7,65,2168","Reverse Integer,Valid Number,Check if Numbers Are Ascending in a Sentence",,"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer. The algorithm for myAtoi(string s) is as follows: Return the integer as the final result. "
9,Palindrome Number,palindrome-number,Easy,59.3,10968738,6500348,14149,2824,Math,VG9waWNUYWdOb2RlOjg=,None,Beware of overflow when you reverse the integer.,"234,1375,2396,2843,3272,3260","Palindrome Linked List,Find Palindrome With Fixed Length,Strictly Palindromic Number,  Count Symmetric Integers,Find the Count of Good Integers,Find the Largest Palindrome Divisible by K",,"Given an integer x, return true if x is a palindrome, and false otherwise. "
10,Regular Expression Matching,regular-expression-matching,Hard,29.3,4001219,1172878,12752,2297,"String,Dynamic Programming,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx",None,,44,Wildcard Matching,,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: The matching should cover the entire input string (not partial). "
