Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,201,"Given two integers left and right that represent the range [left, right], return the bitwise AND of all numbers in this range, inclusive. ",Bit Manipulation,VG9waWNUYWdOb2RlOjE5,Medium,47.8,962823,459930,,4162,313,,2478,Longest Nice Subarray
Happy Number,happy-number,202,"Write an algorithm to determine if a number n is happy. A happy number is a number defined by the following process: Return true if n is a happy number, and false if not. ","Hash Table,Math,Two Pointers","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjk=",Easy,58.1,3262011,1895653,,11187,1571,,"141,258,263,2076,2544,2595,2608","Linked List Cycle,Add Digits,Ugly Number,Sum of Digits of String After Convert,Minimum Addition to Make Integer Beautiful,Smallest Value After Replacing With Sum of Prime Factors,Count the Digits That Divide a Number"
Remove Linked List Elements,remove-linked-list-elements,203,"Given the head of a linked list and an integer val, remove all the nodes of the linked list that has Node.val == val, and return the new head. ","Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx",Easy,52.0,2656315,1381079,,8705,270,,"27,237,2216,3501,3577,3615","Remove Element,Delete Node in a Linked List,Delete the Middle Node of a Linked List,Delete Nodes From Linked List Present in Array,Convert Doubly Linked List to Array I,Convert Doubly Linked List to Array II"
Count Primes,count-primes,204,"Given an integer n, return the number of prime numbers that are strictly less than n. ","Array,Math,Enumeration,Number Theory","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDY2,VG9waWNUYWdOb2RlOjYxMDY3",Medium,34.8,3073806,1070659,,8404,1517,"Checking all the integers in the range [1, n - 1] is not efficient. Think about a better approach. Since most of the numbers are not primes, we need a fast approach to exclude the non-prime integers. Use Sieve of Eratosthenes.","263,264,279,2507,2873,3507","Ugly Number,Ugly Number II,Perfect Squares,Number of Common Factors,Prime Pairs With Target Sum,Find the Count of Numbers Which Are Not Special"
Isomorphic Strings,isomorphic-strings,205,"Given two strings s and t, determine if they are isomorphic. Two strings s and t are isomorphic if the characters in s can be replaced to get t. All occurrences of a character must be replaced with another character while preserving the order of characters. No two characters may map to the same character, but a character may map to itself. ","Hash Table,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Easy,46.9,3852909,1807180,,9787,2217,,"290,926","Word Pattern,Find and Replace Pattern"
Reverse Linked List,reverse-linked-list,206,"Given the head of a singly linked list, reverse the list, and return the reversed list. ","Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx",Easy,79.3,6742210,5343346,,23071,533,,"92,156,234,2196,2236,2573,2903","Reverse Linked List II,Binary Tree Upside Down,Palindrome Linked List,Reverse Nodes in Even Length Groups,Maximum Twin Sum of a Linked List,Remove Nodes From Linked List,Insert Greatest Common Divisors in Linked List"
Course Schedule,course-schedule,207,"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai. Return true if you can finish all courses. Otherwise, return false. ","Depth-First Search,Breadth-First Search,Graph,Topological Sort","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI2",Medium,49.3,4313108,2126369,,17174,813,"This problem is equivalent to finding if a cycle exists in a directed graph. If a cycle exists, no topological ordering exists and therefore it will be impossible to take all courses. Topological Sort via DFS - A great tutorial explaining the basic concepts of Topological Sort. Topological sort could also be done via BFS.","210,261,310,630,2472","Course Schedule II,Graph Valid Tree,Minimum Height Trees,Course Schedule III,Build a Matrix With Conditions"
Implement Trie (Prefix Tree),implement-trie-prefix-tree,208,"A trie (pronounced as ""try"") or prefix tree is a tree data structure used to efficiently store and retrieve keys in a dataset of strings. There are various applications of this data structure, such as autocomplete and spellchecker. Implement the Trie class: ","Hash Table,String,Design,Trie","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3",Medium,68.0,1964454,1335587,,12075,150,,"211,642,648,676,1433,1949,3305,3309","Design Add and Search Words Data Structure,Design Search Autocomplete System,Replace Words,Implement Magic Dictionary,Encrypt and Decrypt Strings,Implement Trie II (Prefix Tree),Count Prefix and Suffix Pairs II,Count Prefix and Suffix Pairs I"
Minimum Size Subarray Sum,minimum-size-subarray-sum,209,"Given an array of positive integers nums and a positive integer target, return the minimal length of a subarray whose sum is greater than or equal to target. If there is no such subarray, return 0 instead. ","Array,Binary Search,Sliding Window,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDY4",Medium,49.5,3005630,1486324,,13511,499,,"76,325,718,1776,2211,2329,3381,3644","Minimum Window Substring,Maximum Size Subarray Sum Equals k,Maximum Length of Repeated Subarray,Minimum Operations to Reduce X to Zero,K Radius Subarray Averages,Maximum Product After K Increments,Shortest Subarray With OR at Least K I,Minimum Positive Sum Subarray "
Course Schedule II,course-schedule-ii,210,"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai. Return the ordering of courses you should take to finish all courses. If there are many valid answers, return any of them. If it is impossible to finish all courses, return an empty array. ","Depth-First Search,Breadth-First Search,Graph,Topological Sort","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI2",Medium,53.5,2621631,1402303,,11414,369,"This problem is equivalent to finding the topological order in a directed graph. If a cycle exists, no topological ordering exists and therefore it will be impossible to take all courses. Topological Sort via DFS - A great video tutorial (21 minutes) on Coursera explaining the basic concepts of Topological Sort. Topological sort could also be done via BFS.","207,269,310,444,630,1101,2220,2472,2489","Course Schedule,Alien Dictionary,Minimum Height Trees,Sequence Reconstruction,Course Schedule III,Parallel Courses,Find All Possible Recipes from Given Supplies,Build a Matrix With Conditions,Sort Array by Moving Items to Empty Space"
Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,211,Design a data structure that supports adding new words and finding if a string matches any previously added string. Implement the WordDictionary class:  Example:  Constraints:,"String,Depth-First Search,Design,Trie","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3",Medium,47.1,1657524,780814,,7886,478,"You should be familiar with how a Trie works. If not, please work on this problem: Implement Trie (Prefix Tree) first.","208,746,2393,2494,3305,3309","Implement Trie (Prefix Tree),Prefix and Suffix Search,Match Substring After Replacement,Sum of Prefix Scores of Strings,Count Prefix and Suffix Pairs II,Count Prefix and Suffix Pairs I"
