Question ID,Question Title,Question Slug,Topic Tagged text,Topic Tagged ID,Question Text,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
1,Two Sum,two-sum,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=","Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. ",Easy,55.8,31613908,17646703,None,62306,2258,"A really brute force way would be to search for all possible pairs of numbers but that would be too slow. Again, it's best to try out brute force solutions for just for completeness. It is from these brute force solutions that you can come up with optimizations. So, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","15,18,167,170,560,653,1083,1798,1830,2116,2133,2320,2351,2354,2367,2374,2399,2395,2441,2465,2824","3Sum,4Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Subarray Sum Equals K,Two Sum IV - Input is a BST,Two Sum Less Than K,Max Number of K-Sum Pairs,Count Good Meals,Count Number of Pairs With Absolute Difference K,Number of Pairs of Strings With Concatenation Equal to Target,Find All K-Distant Indices in an Array,First Letter to Appear Twice,Number of Excellent Pairs,Number of Arithmetic Triplets,Node With Highest Edge Score,Check Distances Between Same Letters,Find Subarrays With Equal Sum,Largest Positive Integer That Exists With Its Negative,Number of Distinct Averages,Count Pairs Whose Sum is Less than Target"
2,Add Two Numbers,add-two-numbers,"Linked List,Math,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMx","You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ",Medium,46.3,12670385,5864801,None,33855,6788,,"43,67,371,415,445,1031,1774,2816","Multiply Strings,Add Binary,Sum of Two Integers,Add Strings,Add Two Numbers II,Add to Array-Form of Integer,Add Two Polynomials Represented as Linked Lists,Double a Number Represented as a Linked List"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx","Given a string s, find the length of the longest substring without duplicate characters. ",Medium,37.0,20629483,7630952,None,42269,2055,Generate all possible substrings & check for each substring if it's valid and keep updating maxLen accordingly.,"159,340,1034,1813,2209,2260,2401,2405,2799,2982,2981","Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers,Maximum Erasure Value,Number of Equal Count Substrings,Minimum Consecutive Cards to Pick Up,Longest Nice Subarray,Optimal Partition of String,Count Complete Subarrays in an Array,Find Longest Special Substring That Occurs Thrice II,Find Longest Special Substring That Occurs Thrice I"
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"Array,Binary Search,Divide and Conquer","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEy","Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)). ",Hard,43.9,7877115,3457533,None,30251,3396,,2387,Median of a Row Wise Sorted Matrix
5,Longest Palindromic Substring,longest-palindromic-substring,"String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz","Given a string s, return the longest palindromic substring in s. ",Medium,35.9,10914325,3917783,None,30939,1905,"How can we reuse a previously computed palindrome to compute a larger palindrome? If “aba” is a palindrome, is “xabax” a palindrome? Similarly is “xabay” a palindrome? Complexity based hint:
If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation.","214,266,336,516,647,2472","Shortest Palindrome,Palindrome Permutation,Palindrome Pairs,Longest Palindromic Subsequence,Palindromic Substrings,Maximum Number of Non-overlapping Palindrome Substrings"
6,Zigzag Conversion,zigzag-conversion,String,VG9waWNUYWdOb2RlOjEw,"The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: ",Medium,51.7,3469575,1792848,None,8551,15425,,,
7,Reverse Integer,reverse-integer,Math,VG9waWNUYWdOb2RlOjg=,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned). ",Medium,30.3,13610790,4130615,None,14235,13784,,"8,190,2238,2442","String to Integer (atoi),Reverse Bits,A Number After a Double Reversal,Count Number of Distinct Integers After Reverse Operations"
8,String to Integer (atoi),string-to-integer-atoi,String,VG9waWNUYWdOb2RlOjEw,"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer. The algorithm for myAtoi(string s) is as follows: Return the integer as the final result. ",Medium,19.3,10431705,2010944,None,5425,14784,,"7,65,2168","Reverse Integer,Valid Number,Check if Numbers Are Ascending in a Sentence"
9,Palindrome Number,palindrome-number,Math,VG9waWNUYWdOb2RlOjg=,"Given an integer x, return true if x is a palindrome, and false otherwise. ",Easy,59.3,10968738,6500348,None,14149,2824,Beware of overflow when you reverse the integer.,"234,1375,2396,2843,3272,3260","Palindrome Linked List,Find Palindrome With Fixed Length,Strictly Palindromic Number,  Count Symmetric Integers,Find the Count of Good Integers,Find the Largest Palindrome Divisible by K"
10,Regular Expression Matching,regular-expression-matching,"String,Dynamic Programming,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx","Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: The matching should cover the entire input string (not partial). ",Hard,29.3,4001219,1172878,None,12752,2297,,44,Wildcard Matching
11,Container With Most Water,container-with-most-water,"Array,Two Pointers,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE3","You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container. ",Medium,57.8,7191067,4158444,None,31475,2018,"If you simulate the problem, it will be O(n^2) which is not efficient. Try to use two-pointers. Set one pointer to the left and one to the right of the array. Always move the pointer that points to the lower line. How can you calculate the amount of water at each step?","42,2517,2560","Trapping Rain Water,Maximum Tastiness of Candy Basket,House Robber IV"
12,Integer to Roman,integer-to-roman,"Hash Table,Math,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw","Seven different symbols represent Roman numerals with the following values: Roman numerals are formed by appending the conversions of decimal place values from highest to lowest. Converting a decimal place value into a Roman numeral has the following rules: Given an integer, convert it to a Roman numeral. ",Medium,68.7,2558633,1757625,None,7889,5666,,"13,273","Roman to Integer,Integer to English Words"
13,Roman to Integer,roman-to-integer,"Hash Table,Math,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw","Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two ones added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given a roman numeral, convert it to an integer. ",Easy,64.9,7545237,4898137,None,16000,1103,Problem is simpler to solve by working the string from back to front and using a map.,12,Integer to Roman
14,Longest Common Prefix,longest-common-prefix,String,VG9waWNUYWdOb2RlOjEw,"Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string """". ",Easy,45.5,10111113,4604032,None,19336,4744,,"2996,3043,3093,3460","Smallest Missing Integer Greater Than Sequential Prefix Sum,Find the Length of the Longest Common Prefix,Longest Common Suffix Queries,Longest Common Prefix After at Most One Removal"
15,3Sum,3sum,"Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5","Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets. ",Medium,37.1,12950767,4808015,None,33176,3112,"So, we essentially need to find three numbers x, y, and z such that they add up to the given value. If we fix one of the numbers say x, we are left with the two-sum problem at hand! For the two-sum problem, if we fix one of the numbers, say x, we have to scan the entire array to find the next number y, which is value - x where value is the input parameter. Can we change our array somehow so that this search becomes faster? The second train of thought for two-sum is, without changing the array, can we use additional space somehow? Like maybe a hash map to speed up the search?","1,16,18,259,2367,2908,2909","Two Sum,3Sum Closest,4Sum,3Sum Smaller,Number of Arithmetic Triplets,Minimum Sum of Mountain Triplets I,Minimum Sum of Mountain Triplets II"
16,3Sum Closest,3sum-closest,"Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5","Given an integer array nums of length n and an integer target, find three integers in nums such that the sum is closest to target. Return the sum of the three integers. You may assume that each input would have exactly one solution. ",Medium,46.9,3224142,1512873,None,11024,596,,"15,259","3Sum,3Sum Smaller"
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"Hash Table,String,Backtracking","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0","Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters. ",Medium,63.9,4042559,2584073,None,19854,1074,,"22,39,401,2266,3014,3016","Generate Parentheses,Combination Sum,Binary Watch,Count Number of Texts,Minimum Number of Pushes to Type Word I,Minimum Number of Pushes to Type Word II"
18,4Sum,4sum,"Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5","Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that: You may return the answer in any order. ",Medium,38.3,3433971,1314679,None,12124,1469,,"1,15,454,2122","Two Sum,3Sum,4Sum II,Count Special Quadruplets"
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"Linked List,Two Pointers","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=","Given the head of a linked list, remove the nth node from the end of the list and return its head. ",Medium,49.0,7189335,3526324,None,20098,862,Maintain two pointers and update one with a delay of n steps.,"528,1618,2216","Swapping Nodes in a Linked List,Delete N Nodes After M Nodes of a Linked List,Delete the Middle Node of a Linked List"
20,Valid Parentheses,valid-parentheses,"String,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1","Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: ",Easy,42.4,14585447,6179543,None,25960,1888,"Use a stack of characters. When you encounter an opening bracket, push it to the top of the stack. When you encounter a closing bracket, check if the top of the stack was the opening for it. If yes, pop it from the stack. Otherwise, return false.","22,32,301,1045,2221,2337","Generate Parentheses,Longest Valid Parentheses,Remove Invalid Parentheses,Check If Word Is Valid After Substitutions,Check if a Parentheses String Can Be Valid,Move Pieces to Obtain a String"
21,Merge Two Sorted Lists,merge-two-sorted-lists,"Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx",You are given the heads of two sorted linked lists list1 and list2. Merge the two lists into one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list. ,Easy,66.9,7957582,5322381,None,23469,2304,,"23,88,148,244,1774,2071,2570","Merge k Sorted Lists,Merge Sorted Array,Sort List,Shortest Word Distance II,Add Two Polynomials Represented as Linked Lists,Longest Common Subsequence Between Sorted Arrays,Merge Two 2D Arrays by Summing Values"
22,Generate Parentheses,generate-parentheses,"String,Dynamic Programming,Backtracking","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0","Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. ",Medium,77.2,3113177,2402963,None,22272,1034,,"17,20,2221","Letter Combinations of a Phone Number,Valid Parentheses,Check if a Parentheses String Can Be Valid"
23,Merge k Sorted Lists,merge-k-sorted-lists,"Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUx","You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it. ",Hard,56.9,4454058,2532371,None,20431,760,,"21,264,2411","Merge Two Sorted Lists,Ugly Number II,Smallest Subarrays With Maximum Bitwise OR"
24,Swap Nodes in Pairs,swap-nodes-in-pairs,"Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx","Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.) ",Medium,67.3,2453003,1649989,None,12555,486,,"25,528","Reverse Nodes in k-Group,Swapping Nodes in a Linked List"
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"Linked List,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjMx","Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed. ",Hard,63.1,1978059,1248805,None,14697,754,,"24,528,2196","Swap Nodes in Pairs,Swapping Nodes in a Linked List,Reverse Nodes in Even Length Groups"
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=","Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Then return the number of unique elements in nums. Consider the number of unique elements of nums to be k, to get accepted, you need to do the following things: Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ",Easy,60.4,10476144,6330238,None,16924,19870,"In this problem, the key point to focus on is the input array being sorted. As far as duplicate elements are concerned, what is their positioning in the array when the given array is sorted? Look at the image below for the answer. If we know the position of one of the elements, do we also know the positioning of all the duplicate elements? We need to modify the array in-place and the size of the final array would potentially be smaller than the size of the input array. So, we ought to use a two-pointer approach here. One, that would keep track of the current element in the original array and another one for just the unique elements. Essentially, once an element is encountered, you simply need to bypass its duplicates and move on to the next unique element.","27,80,2460,2615","Remove Element,Remove Duplicates from Sorted Array II,Apply Operations to an Array,Sum of Distances"
27,Remove Element,remove-element,"Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=","Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The order of the elements may be changed. Then return the number of elements in nums which are not equal to val. Consider the number of elements in nums which are not equal to val be k, to get accepted, you need to do the following things: Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ",Easy,60.1,7120003,4277645,None,3939,4844,"The problem statement clearly asks us to modify the array in-place and it also says that the element beyond the new length of the array can be anything. Given an element, we need to remove all the occurrences of it from the array. We don't technically need to remove that element per-say, right? We can move all the occurrences of this element to the end of the array. Use two pointers! Yet another direction of thought is to consider the elements to be removed as non-existent. In a single pass, if we keep copying the visible elements in-place, that should also solve this problem for us.","26,203,283","Remove Duplicates from Sorted Array,Remove Linked List Elements,Move Zeroes"
29,Divide Two Integers,divide-two-integers,"Math,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5","Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator. The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2. Return the quotient after dividing dividend by divisor. Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [−231, 231 − 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231. ",Medium,18.4,5176813,953715,None,5647,15115,,,
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",You are given a string s and an array of strings words. All the strings of words are of the same length. A concatenated string is a string that exactly contains all the strings of any permutation of words concatenated. Return an array of the starting indices of all the concatenated substrings in s. You can return the answer in any order. ,Hard,33.0,1782094,588424,None,2262,368,,76,Minimum Window Substring
